Tamaño de grilla,Celdas (n²),Tiempo total (3 iteraciones),Tiempo promedio por iteración
32,1024,0.9689953327178955,0.09689953327178955
64,4096,0.0020012855529785156,0.00020012855529785156
128,16384,0.0019991397857666016,0.00019991397857666016
256,65536,0.003000020980834961,0.0003000020980834961
