Tamaño de grilla,Celdas (n²),Tiempo total (10 iteraciones),Tiempo promedio por iteración
32,1024,0.02100205421447754,0.0004200410842895508
64,4096,0.013999223709106445,0.0002799844741821289
128,16384,0.01599717140197754,0.0003199434280395508
256,65536,0.015996694564819336,0.00031993389129638674
